datetime,prediction
2011-01-01 00:00:00,60.59510555555554
2011-01-01 01:00:00,54.230126800976784
2011-01-01 02:00:00,69.46330873015873
2011-01-01 03:00:00,81.25513253968249
2011-01-01 04:00:00,65.82282828282825
2011-01-01 05:00:00,60.6361833333333
2011-01-01 06:00:00,60.42796904761904
2011-01-01 07:00:00,63.247082034632
2011-01-01 08:00:00,64.84597886002882
2011-01-01 09:00:00,65.93010346320342
2011-01-01 10:00:00,65.35553600288597
2011-01-01 11:00:00,69.09340158730157
2011-01-01 12:00:00,67.94574365079367
2011-01-01 13:00:00,76.90442142857141
2011-01-01 14:00:00,86.63658492063495
2011-01-01 15:00:00,87.33348174603171
2011-01-01 16:00:00,86.40317222222221
2011-01-01 17:00:00,89.25383333333332
2011-01-01 18:00:00,105.62009682539681
2011-01-01 19:00:00,94.99157727272726
2011-01-01 20:00:00,105.62643333333332
2011-01-01 21:00:00,106.5980301587302
2011-01-01 22:00:00,100.47906666666675
2011-01-01 23:00:00,72.99350952380951
